ori_text_x,paragraphIndex,ori_text_y,coref_text
"Much of Paganini's playing (and his violin composition) was influenced by two violinists, Pietro Locatelli (1693–1746) and August Duranowski (Auguste Frédéric Durand) (1770–1834). During Paganini's study in Parma, he came across the 24 Caprices of Locatelli (entitled L'arte di nuova modulazione – Capricci enigmatici or The art of the new style – the enigmatic caprices). Published in the 1730s, they were shunned by the musical authorities for their technical innovations, and were forgotten by the musical community at large. Around the same time, Durand, a former student of Giovanni Battista Viotti (1755–1824), became a celebrated violinist. He was renowned for his use of harmonics, both natural and artificial (which had previously not been attempted in performance), and the left hand pizzicato in his performance. Paganini was impressed by Durand's innovations and showmanship, which later also became the hallmarks of the young violin virtuoso. Paganini was instrumental in the revival and popularization of these violinistic techniques, which are now incorporated into regular compositions.
",28,"Much of Paganini's playing (and his violin composition) was influenced by two violinists, Pietro Locatelli (1693–1746) and August Duranowski (Auguste Frédéric Durand) (1770–1834). During Paganini's study in Parma, he came across the 24 Caprices of Locatelli (entitled L'arte di nuova modulazione – Capricci enigmatici or The art of the new style – the enigmatic caprices). Published in the 1730s, they were shunned by the musical authorities for their technical innovations, and were forgotten by the musical community at large. Around the same time, Durand, a former student of Giovanni Battista Viotti (1755–1824), became a celebrated violinist. He was renowned for his use of harmonics, both natural and artificial (which had previously not been attempted in performance), and the left hand pizzicato in his performance. Paganini was impressed by Durand's innovations and showmanship, which later also became the hallmarks of the young violin virtuoso. Paganini was instrumental in the revival and popularization of these violinistic techniques, which are now incorporated into regular compositions.
","Much of Paganini's's playing (and Paganini's's violin composition) was influenced by two violinists, Pietro Locatelli (1693–1746) and August Duranowski (Auguste Frédéric Durand) (1770–1834). During Paganini's's study in Parma, Paganini's came across the 24 Caprices of Pietro Locatelli (1693–1746) (entitled L'arte di nuova modulazione – Capricci enigmatici or The art of the new style – the enigmatic caprices). Published in the 1730s, they were shunned by the musical authorities for their technical innovations, and were forgotten by the musical community at large. Around the same time, August Duranowski (Auguste Frédéric Durand) (1770–1834), became a celebrated violinist. August Duranowski (Auguste Frédéric Durand) (1770–1834) was renowned for August Duranowski (Auguste Frédéric Durand) (1770–1834)'s use of harmonics, both natural and artificial (which had previously not been attempted in performance), and the left hand pizzicato in August Duranowski (Auguste Frédéric Durand) (1770–1834)'s performance. Paganini's was impressed by August Duranowski (Auguste Frédéric Durand) (1770–1834)'s innovations and showmanship, which later also became the hallmarks of the young violin virtuoso. Paganini's was instrumental in the revival and popularization of these violinistic techniques, which are now incorporated into regular compositions.
"
"Another aspect of Paganini's violin techniques concerned his flexibility. He had exceptionally long fingers and was capable of playing three octaves across four strings in a hand span, an extraordinary feat even by today's standards. His seemingly unnatural ability may have been a result of Marfan syndrome.
",29,"Another aspect of Paganini's violin techniques concerned his flexibility. He had exceptionally long fingers and was capable of playing three octaves across four strings in a hand span, an extraordinary feat even by today's standards. His seemingly unnatural ability may have been a result of Marfan syndrome.
","Another aspect of Paganini's's violin techniques concerned Paganini's's flexibility. Paganini's had exceptionally long fingers and was capable of playing three octaves across four strings in a hand span, an extraordinary feat even by today's standards. Paganini's's seemingly unnatural ability may have been a result of Marfan syndrome.
"
"== Compositions ==
",30,"== Compositions ==
","== Compositions ==
"
"Paganini composed his own works to play exclusively in his concerts, all of which profoundly influenced the evolution of violin technique. His 24 Caprices were likely composed between 1805 and 1809, while he was in the service of the Baciocchi court. Also during this period, he composed the majority of the solo pieces, duo-sonatas, trios, and quartets for the guitar, either as a solo instrument or with strings. These chamber works may have been inspired by the publication, in Lucca, of the guitar quintets of Boccherini. Many of his variations, including Le Streghe, The Carnival of Venice, and Nel cor più non-mi sento, were composed, or at least first performed, before his European concert tour. His six violin concertos were written between 1817 and 1830.
",31,"Paganini composed his own works to play exclusively in his concerts, all of which profoundly influenced the evolution of violin technique. His 24 Caprices were likely composed between 1805 and 1809, while he was in the service of the Baciocchi court. Also during this period, he composed the majority of the solo pieces, duo-sonatas, trios, and quartets for the guitar, either as a solo instrument or with strings. These chamber works may have been inspired by the publication, in Lucca, of the guitar quintets of Boccherini. Many of his variations, including Le Streghe, The Carnival of Venice, and Nel cor più non-mi sento, were composed, or at least first performed, before his European concert tour. His six violin concertos were written between 1817 and 1830.
","Paganini composed Paganini's own works to play exclusively in Paganini's concerts, all of which profoundly influenced the evolution of violin technique. Paganini's 24 Caprices were likely composed between this period, while Paganini was in the service of the Baciocchi court. Also during this period, Paganini composed the majority of the solo pieces, duo-sonatas, trios, and quartets for the guitar, either as a solo instrument or with strings. the solo pieces, duo-sonatas, trios, and quartets for the guitar, either as a solo instrument or with strings may have been inspired by the publication, in Lucca, of the guitar quintets of Paganini. Many of Paganini's variations, including Le Streghe, The Carnival of Venice, and Nel cor più non-mi sento, were composed, or at least first performed, before Paganini's European concert tour. Paganini's six violin concertos were written between 1817 and 1830.
"
"Generally speaking, Paganini's compositions were technically imaginative, and the timbre of the instrument was greatly expanded as a result of these works. Sounds of different musical instruments and animals were often imitated. One such composition was titled Il Fandango Spanolo (The Spanish Dance), which featured a series of humorous imitations of farm animals. Even more outrageous was a solo piece Duetto Amoroso, in which the sighs and groans of lovers were intimately depicted on the violin. There survives a manuscript of the Duetto, which has been recorded. The existence of the Fandango is known only through concert posters.
",32,"Generally speaking, Paganini's compositions were technically imaginative, and the timbre of the instrument was greatly expanded as a result of these works. Sounds of different musical instruments and animals were often imitated. One such composition was titled Il Fandango Spanolo (The Spanish Dance), which featured a series of humorous imitations of farm animals. Even more outrageous was a solo piece Duetto Amoroso, in which the sighs and groans of lovers were intimately depicted on the violin. There survives a manuscript of the Duetto, which has been recorded. The existence of the Fandango is known only through concert posters.
","Generally speaking, Paganini's compositions were technically imaginative, and the timbre of the instrument was greatly expanded as a result of Paganini's compositions. Sounds of different musical instruments and animals were often imitated. One such composition was titled Il Fandango Spanolo (The Spanish Dance), which featured a series of humorous imitations of farm animals. Even more outrageous was a solo piece Duetto Amoroso, in which the sighs and groans of lovers were intimately depicted on the violin. There survives a manuscript of a solo piece Duetto Amoroso, in which the sighs and groans of lovers were intimately depicted on the violin, which has been recorded. The existence of the Fandango is known only through concert posters.
"
"Eugène Ysaÿe criticized Paganini's works for lacking characteristics of true polyphonism. Yehudi Menuhin, on the other hand, suggested that this might have been the result of Paganini's reliance on the guitar (in lieu of the piano) as an aid in composition. The orchestral parts for his concertos were often polite, unadventurous, and clearly supportive of the soloist. In this, his style is consistent with that of other Italian composers such as Giovanni Paisiello, Gioachino Rossini, and Gaetano Donizetti, who were influenced by the guitar-song milieu of Naples during this period. Paganini's ""La Campanella"" and the A minor Caprice (No. 24) have inspired many composers, including Franz Liszt, Robert Schumann, Johannes Brahms, Sergei Rachmaninoff, Boris Blacher, Andrew Lloyd Webber, George Rochberg, and Witold Lutosławski, all of whom wrote variations on these works.
",33,"Eugène Ysaÿe criticized Paganini's works for lacking characteristics of true polyphonism. Yehudi Menuhin, on the other hand, suggested that this might have been the result of Paganini's reliance on the guitar (in lieu of the piano) as an aid in composition. The orchestral parts for his concertos were often polite, unadventurous, and clearly supportive of the soloist. In this, his style is consistent with that of other Italian composers such as Giovanni Paisiello, Gioachino Rossini, and Gaetano Donizetti, who were influenced by the guitar-song milieu of Naples during this period. Paganini's ""La Campanella"" and the A minor Caprice (No. 24) have inspired many composers, including Franz Liszt, Robert Schumann, Johannes Brahms, Sergei Rachmaninoff, Boris Blacher, Andrew Lloyd Webber, George Rochberg, and Witold Lutosławski, all of whom wrote variations on these works.
","Eugène Ysaÿe criticized Paganini's's works for lacking characteristics of true polyphonism. Yehudi Menuhin, on the other hand, suggested that this might have been the result of Paganini's's reliance on the guitar (in lieu of the piano) as an aid in composition. The orchestral parts for Paganini's's concertos were often polite, unadventurous, and clearly supportive of the soloist. In this, Paganini's's style is consistent with that of other Italian composers such as Giovanni Paisiello, Gioachino Rossini, and Gaetano Donizetti, who were influenced by the guitar-song milieu of Naples during this period. Paganini's's ""La Campanella"" and the A minor Caprice (No. 24) have inspired many composers, including Franz Liszt, Robert Schumann, Johannes Brahms, Sergei Rachmaninoff, Boris Blacher, Andrew Lloyd Webber, George Rochberg, and Witold Lutosławski, all of whom wrote variations on Paganini's ""La Campanella"" and the A minor Caprice (No. 24).
"
"== Legacy and influence ==
",34,"== Legacy and influence ==
","== Legacy and influence ==
"
"=== Inspired works ===
",35,"=== Inspired works ===
","=== Inspired works ===
"
"Notable works inspired by compositions of Paganini include:
",36,"Notable works inspired by compositions of Paganini include:
","Notable works inspired by compositions of Paganini include:
"
"Jason Becker – Caprice No. 5
",37,"Jason Becker – Caprice No. 5
","Jason Becker – Caprice No. 5
"
"Mike Campese – ""Paganini"", arrangement of Caprice No. 16 and various works.
",38,"Mike Campese – ""Paganini"", arrangement of Caprice No. 16 and various works.
","Mike Campese – ""Paganini"", arrangement of Caprice No. 16 and various works.
"
"Julián Carrillo – ""6 Sonatas dedicadas a Paganini"" for solo violin.
",39,"Julián Carrillo – ""6 Sonatas dedicadas a Paganini"" for solo violin.
","Julián Carrillo – ""6 Sonatas dedicadas a Paganini"" for solo violin.
"
"Alfredo Casella – Paganiniana Op. 65 (1942)
",40,"Alfredo Casella – Paganiniana Op. 65 (1942)
","Alfredo Casella – Paganiniana Op. 65 (1942)
"
"Mario Castelnuovo-Tedesco – Capriccio Diabolico for classical guitar is a homage to Paganini, and quotes ""La campanella""
",41,"Mario Castelnuovo-Tedesco – Capriccio Diabolico for classical guitar is a homage to Paganini, and quotes ""La campanella""
","Mario Castelnuovo-Tedesco – Capriccio Diabolico for classical guitar is a homage to Paganini, and quotes ""La campanella""
"
"Frédéric Chopin – Souvenir de Paganini for solo piano (1829; published posthumously)
",42,"Frédéric Chopin – Souvenir de Paganini for solo piano (1829; published posthumously)
","Frédéric Chopin – Souvenir de Paganini for solo piano (1829; published posthumously)
"
"Ivry Gitlis – Cadenza for the 1st movement of Paganini's Violin Concerto No. 2 Op. 7 ""La Campanella"" (1967)
",43,"Ivry Gitlis – Cadenza for the 1st movement of Paganini's Violin Concerto No. 2 Op. 7 ""La Campanella"" (1967)
","Ivry Gitlis – Cadenza for the 1st movement of Paganini's Violin Concerto No. 2 Op. 7 ""La Campanella"" (1967)
"
"Johann Nepomuk Hummel – Fantasia for piano in C major ""Souvenir de Paganini"", WoO 8, S. 190.
",44,"Johann Nepomuk Hummel – Fantasia for piano in C major ""Souvenir de Paganini"", WoO 8, S. 190.
","Johann Nepomuk Hummel – Fantasia for piano in C major ""Souvenir de Paganini"", WoO 8, S. 190.
"
"Fritz Kreisler – Paganini Concerto in D major (recomposed paraphrase of the first movement of the Op. 6 Concerto) for violin and orchestra
",45,"Fritz Kreisler – Paganini Concerto in D major (recomposed paraphrase of the first movement of the Op. 6 Concerto) for violin and orchestra
","Fritz Kreisler – Paganini Concerto in D major (recomposed paraphrase of the first movement of the Op. 6 Concerto) for violin and orchestra
"
"Franz Lehár – Paganini, a fictionalized operetta about Paganini (1925)
",46,"Franz Lehár – Paganini, a fictionalized operetta about Paganini (1925)
","Franz Lehár – Paganini, a fictionalized operetta about Paganini (1925)
"
"Franz Liszt – Six Grandes Études de Paganini, S. 141 for solo piano (1851) (virtuoso arrangements of 5 caprices, including the 24th, and La Campanella from Violin Concerto No. 2)
",47,"Franz Liszt – Six Grandes Études de Paganini, S. 141 for solo piano (1851) (virtuoso arrangements of 5 caprices, including the 24th, and La Campanella from Violin Concerto No. 2)
","Franz Liszt – Six Grandes Études de Paganini, S. 141 for solo piano (1851) (virtuoso arrangements of 5 caprices, including the 24th, and La Campanella from Violin Concerto No. 2)
"
"Yngwie Malmsteen – Paganini's Violin Concerto No. 4 is used in the opening of ""Far Beyond the Sun"" in Trial by Fire. Caprice No. 24 was used as a part of the solo in the song ""Prophet of Doom"" from the album War to End All Wars.
",48,"Yngwie Malmsteen – Paganini's Violin Concerto No. 4 is used in the opening of ""Far Beyond the Sun"" in Trial by Fire. Caprice No. 24 was used as a part of the solo in the song ""Prophet of Doom"" from the album War to End All Wars.
","Yngwie Malmsteen – Paganini's Violin Concerto No. 4 is used in the opening of ""Far Beyond the Sun"" in Trial by Fire. Caprice No. 24 was used as a part of the solo in the song ""Prophet of Doom"" from the album War to End All Wars.
"
"Nathan Milstein – Paganiniana, a set of variations based on the theme from Paganini's 24th Caprice in which the variations are based on motifs from other caprices
",49,"Nathan Milstein – Paganiniana, a set of variations based on the theme from Paganini's 24th Caprice in which the variations are based on motifs from other caprices
","Nathan Milstein – Paganiniana, a set of variations based on the theme from Paganini's 24th Caprice in which variations based on the theme from Paganini's 24th Caprice in which the variations are based on motifs from other caprices are based on motifs from other caprices
"
"Cesare Pugni – ""Le Carnaval de Venise"" pas de deux (aka ""Satanella"" pas de deux). Based on airs from Paganini's Il carnevale di Venezia, op. 10. Originally choreographed by Marius Petipa as a concert piece for himself and the ballerina Amalia Ferraris. First performed at the Imperial Bolshoi Kamenny Theatre of Saint Petersburg on 24 February [O.S. 12 February] 1859. The pas de deux was later added to the ballet Satanella in 1866 where it acquired its more well-known title, the ""Satanella"" pas de deux.
",50,"Cesare Pugni – ""Le Carnaval de Venise"" pas de deux (aka ""Satanella"" pas de deux). Based on airs from Paganini's Il carnevale di Venezia, op. 10. Originally choreographed by Marius Petipa as a concert piece for himself and the ballerina Amalia Ferraris. First performed at the Imperial Bolshoi Kamenny Theatre of Saint Petersburg on 24 February [O.S. 12 February] 1859. The pas de deux was later added to the ballet Satanella in 1866 where it acquired its more well-known title, the ""Satanella"" pas de deux.
","Cesare Pugni – ""Le Carnaval de Venise"" pas de deux (aka ""Satanella"" pas de deux). Based on airs from Paganini's Il carnevale di Venezia, op. 10. Originally choreographed by Marius Petipa as a concert piece for Marius Petipa and the ballerina Amalia Ferraris. First performed at the Imperial Bolshoi Kamenny Theatre of Saint Petersburg on 24 February [O.S. 12 February] 1859. The pas de deux was later added to the ballet Satanella in 1866 where the ballet Satanella acquired the ballet Satanella's more well-known title, the ""Satanella"" pas de deux.
"
"George Rochberg – Caprice Variations (1970), 50 variations for solo violin
",51,"George Rochberg – Caprice Variations (1970), 50 variations for solo violin
","George Rochberg – Caprice Variations (1970), 50 variations for solo violin
"
"Michael Romeo – ""Concerto in B Minor"" is an adaptation of Allegro Maestoso (first movement) of Paganini's Violin Concerto No. 2 in B minor, Op. 7.
",52,"Michael Romeo – ""Concerto in B Minor"" is an adaptation of Allegro Maestoso (first movement) of Paganini's Violin Concerto No. 2 in B minor, Op. 7.
","Michael Romeo – ""Concerto in B Minor"" is an adaptation of Allegro Maestoso (first movement) of Paganini's Violin Concerto No. 2 in B minor, Op. 7.
"
"Uli Jon Roth – ""Scherzo alla Paganini"" and ""Paganini Paraphrase""
",53,"Uli Jon Roth – ""Scherzo alla Paganini"" and ""Paganini Paraphrase""
","Uli Jon Roth – ""Scherzo alla Paganini"" and ""Paganini Paraphrase""
"
"Robert Schumann – Studies after Caprices by Paganini, Op. 3 (1832; piano); 6 Concert Studies on Caprices by Paganini, Op. 10 (1833, piano). A movement from his piano work Carnaval (Op. 9) is named for Paganini.
",54,"Robert Schumann – Studies after Caprices by Paganini, Op. 3 (1832; piano); 6 Concert Studies on Caprices by Paganini, Op. 10 (1833, piano). A movement from his piano work Carnaval (Op. 9) is named for Paganini.
","Robert Schumann – Studies after Caprices by Paganini, Op. 3 (1832; piano); 6 Concert Studies on Caprices by Paganini, Op. 10 (1833, piano). A movement from Robert Schumann's piano work Carnaval (Op. 9) is named for Paganini.
"
"Johann Sedlatzek (19th-century Polish flautist known as ""The Paganini of the Flute"") – ""Souvenir à Paganini"" Grand Variations on ""The Carnival of Venice""
",55,"Johann Sedlatzek (19th-century Polish flautist known as ""The Paganini of the Flute"") – ""Souvenir à Paganini"" Grand Variations on ""The Carnival of Venice""
","Johann Sedlatzek (19th-century Polish flautist known as ""The Paganini of the Flute"") – ""Souvenir à Paganini"" Grand Variations on ""The Carnival of Venice""
"
"Marilyn Shrude – Renewing the Myth for alto saxophone and piano
",56,"Marilyn Shrude – Renewing the Myth for alto saxophone and piano
","Marilyn Shrude – Renewing the Myth for alto saxophone and piano
"
"Steve Vai – ""Eugene's Trick Bag"" from the movie Crossroads. Based on Caprice Nr. 5
",57,"Steve Vai – ""Eugene's Trick Bag"" from the movie Crossroads. Based on Caprice Nr. 5
","Steve Vai – ""Eugene's Trick Bag"" from the movie Crossroads. Based on Caprice Nr. 5
"
"Philip Wilby – Paganini Variations for both wind band and brass band
",58,"Philip Wilby – Paganini Variations for both wind band and brass band
","Philip Wilby – Paganini Variations for both wind band and brass band
"
"August Wilhelmj – Paganini Concerto in D major (recomposed paraphrase of the first movement of the Op. 6 Concerto) for violin and orchestra
",59,"August Wilhelmj – Paganini Concerto in D major (recomposed paraphrase of the first movement of the Op. 6 Concerto) for violin and orchestra
","August Wilhelmj – Paganini Concerto in D major (recomposed paraphrase of the first movement of the Op. 6 Concerto) for violin and orchestra
"
"Eugène Ysaÿe – Paganini Variations for violin and pianoThe Caprice No. 24 in A minor, Op. 1, (Tema con variazioni) has been the basis of works by many other composers. Notable examples include Brahms's Variations on a Theme of Paganini and Rachmaninoff's Rhapsody on a Theme of Paganini.
",60,"Eugène Ysaÿe – Paganini Variations for violin and pianoThe Caprice No. 24 in A minor, Op. 1, (Tema con variazioni) has been the basis of works by many other composers. Notable examples include Brahms's Variations on a Theme of Paganini and Rachmaninoff's Rhapsody on a Theme of Paganini.
","Eugène Ysaÿe – Paganini Variations for violin and pianoThe Caprice No. 24 in A minor, Op. 1, (Tema con variazioni) has been the basis of works by many other composers. Notable examples include Brahms's Variations on a Theme of Paganini and Rachmaninoff's Rhapsody on a Theme of Paganini.
"
"=== Memorials ===
",61,"=== Memorials ===
","=== Memorials ===
"
"The Paganini Competition (Premio Paganini) is an international violin competition created in 1954 in his home city of Genoa and named in his honour.
",62,"The Paganini Competition (Premio Paganini) is an international violin competition created in 1954 in his home city of Genoa and named in his honour.
","The Paganini Competition (Premio Paganini) is an international violin competition created in 1954 in his home city of Genoa and named in his honour.
"
"In 1972 the State of Italy purchased a large collection of Niccolò Paganini manuscripts from the W. Heyer Library of Cologne. They are housed at the Biblioteca Casanatense in Rome. In 1982 the city of Genoa commissioned a thematic catalogue of music by Paganini, edited by Maria Rosa Moretti and Anna Sorrento, hence the abbreviation ""MS"" assigned to his catalogued works. A minor planet 2859 Paganini discovered in 1978 by Soviet astronomer Nikolai Chernykh is named after him.
",63,"In 1972 the State of Italy purchased a large collection of Niccolò Paganini manuscripts from the W. Heyer Library of Cologne. They are housed at the Biblioteca Casanatense in Rome. In 1982 the city of Genoa commissioned a thematic catalogue of music by Paganini, edited by Maria Rosa Moretti and Anna Sorrento, hence the abbreviation ""MS"" assigned to his catalogued works. A minor planet 2859 Paganini discovered in 1978 by Soviet astronomer Nikolai Chernykh is named after him.
","In 1972 the State of Italy purchased a large collection of Niccolò Paganini manuscripts from the W. Heyer Library of Cologne. a large collection of Niccolò Paganini manuscripts are housed at the Biblioteca Casanatense in Rome. In 1982 the city of Genoa commissioned a thematic catalogue of music by Niccolò Paganini, edited by Maria Rosa Moretti and Anna Sorrento, hence the abbreviation ""MS"" assigned to Niccolò Paganini's catalogued works. A minor planet 2859 Niccolò Paganini discovered in 1978 by Soviet astronomer Nikolai Chernykh is named after Niccolò Paganini.
"
"=== Fiorini daguerreotype ===
",64,"=== Fiorini daguerreotype ===
","=== Fiorini daguerreotype ===
"
"Although no photographs of Paganini are known to exist, in 1900 Italian violin maker Giuseppe Fiorini forged the now famous fake daguerreotype of the celebrated violinist. So well in fact, that even the great classical author and conversationalist Arthur M. Abell was led to believe it to be true, reprinting the image in the 22 January 1901 issue of the Musical Courier.
",65,"Although no photographs of Paganini are known to exist, in 1900 Italian violin maker Giuseppe Fiorini forged the now famous fake daguerreotype of the celebrated violinist. So well in fact, that even the great classical author and conversationalist Arthur M. Abell was led to believe it to be true, reprinting the image in the 22 January 1901 issue of the Musical Courier.
","Although no photographs of Paganini are known to exist, in 1900 Italian violin maker Giuseppe Fiorini forged the now famous fake daguerreotype of Paganini. So well in fact, that even the great classical author and conversationalist Arthur M. Abell was led to believe the now famous fake daguerreotype of the celebrated violinist to be true, reprinting the now famous fake daguerreotype of the celebrated violinist in the 22 January 1901 issue of the Musical Courier.
"
"=== Dramatic portrayals ===
",66,"=== Dramatic portrayals ===
","=== Dramatic portrayals ===
"
"Paganini has been portrayed by a number of actors in film and television productions, including Stewart Granger in the 1946 biographical portrait The Magic Bow, Roxy Roth in A Song to Remember (1945), Klaus Kinski in Kinski Paganini (1989), and David Garrett in The Devil's Violinist (2013).
",67,"Paganini has been portrayed by a number of actors in film and television productions, including Stewart Granger in the 1946 biographical portrait The Magic Bow, Roxy Roth in A Song to Remember (1945), Klaus Kinski in Kinski Paganini (1989), and David Garrett in The Devil's Violinist (2013).
","Paganini has been portrayed by a number of actors in film and television productions, including Stewart Granger in the 1946 biographical portrait The Magic Bow, Roxy Roth in A Song to Remember (1945), Klaus Kinski in Kinski Paganini (1989), and David Garrett in The Devil's Violinist (2013).
"
"In the Soviet 1982 miniseries Niccolo Paganini, the musician was portrayed by the Armenian actor Vladimir Msryan. The series focuses on Paganini's relationship with the Roman Catholic Church. Another Soviet actor, Armen Dzhigarkhanyan, played Paganini's fictionalized arch-rival, an insidious Jesuit official. The information in the series is generally spurious, and it also plays to some of the myths and legends rampant during the musician's lifetime. One memorable scene shows Paganini's adversaries sabotaging his violin before a high-profile performance, causing all strings but one to break during the concert. An undeterred Paganini continues to perform on three, two, and finally on a single string. In actuality, Paganini himself occasionally broke strings during his performances on purpose so he could further display his virtuosity. He did this by carefully filing notches into them to weaken them, so that they would break when in use.
",68,"In the Soviet 1982 miniseries Niccolo Paganini, the musician was portrayed by the Armenian actor Vladimir Msryan. The series focuses on Paganini's relationship with the Roman Catholic Church. Another Soviet actor, Armen Dzhigarkhanyan, played Paganini's fictionalized arch-rival, an insidious Jesuit official. The information in the series is generally spurious, and it also plays to some of the myths and legends rampant during the musician's lifetime. One memorable scene shows Paganini's adversaries sabotaging his violin before a high-profile performance, causing all strings but one to break during the concert. An undeterred Paganini continues to perform on three, two, and finally on a single string. In actuality, Paganini himself occasionally broke strings during his performances on purpose so he could further display his virtuosity. He did this by carefully filing notches into them to weaken them, so that they would break when in use.
","In the Soviet 1982 miniseries Niccolo Paganini, the musician was portrayed by the Armenian actor Vladimir Msryan. the Soviet 1982 miniseries Niccolo Paganini focuses on the musician's relationship with the Roman Catholic Church. Another Soviet actor, Armen Dzhigarkhanyan, played the musician's fictionalized arch-rival, an insidious Jesuit official. The information in the Soviet 1982 miniseries Niccolo Paganini is generally spurious, and The information in the series also plays to some of the myths and legends rampant during the musician's lifetime. One memorable scene shows the musician's adversaries sabotaging the musician's violin before a high-profile performance, causing all strings but one to break during a high-profile performance. the musician continues to perform on three, two, and finally on a single string. In actuality, Paganini the musician occasionally broke strings during the musician's performances on purpose so the musician could further display the musician's virtuosity. the musician did this by carefully filing notches into strings to weaken strings, so that strings would break when in use.
"
"In Don Nigro's satirical comedy play Paganini (1995), the great violinist seeks vainly for his salvation, claiming that he unknowingly sold his soul to the Devil. ""Variation upon variation,"" he cries at one point, ""but which variation leads to salvation and which to damnation? Music is a question for which there is no answer."" Paganini is portrayed as having killed three of his lovers and sinking repeatedly into poverty, prison, and drink. Each time he is ""rescued"" by the Devil, who appears in different guises, returning Paganini's violin so he can continue playing. In the end, Paganini's salvation—administered by a god-like Clockmaker—turns out to be imprisonment in a large bottle where he plays his music for the amusement of the public through all eternity. ""Do not pity him, my dear,"" the Clockmaker tells Antonia, one of Paganini's murdered wives. ""He is alone with the answer for which there is no question. The saved and the damned are the same.""
",69,"In Don Nigro's satirical comedy play Paganini (1995), the great violinist seeks vainly for his salvation, claiming that he unknowingly sold his soul to the Devil. ""Variation upon variation,"" he cries at one point, ""but which variation leads to salvation and which to damnation? Music is a question for which there is no answer."" Paganini is portrayed as having killed three of his lovers and sinking repeatedly into poverty, prison, and drink. Each time he is ""rescued"" by the Devil, who appears in different guises, returning Paganini's violin so he can continue playing. In the end, Paganini's salvation—administered by a god-like Clockmaker—turns out to be imprisonment in a large bottle where he plays his music for the amusement of the public through all eternity. ""Do not pity him, my dear,"" the Clockmaker tells Antonia, one of Paganini's murdered wives. ""He is alone with the answer for which there is no question. The saved and the damned are the same.""
","In Don Nigro's satirical comedy play Paganini (1995), the great violinist seeks vainly for the great violinist's salvation, claiming that the great violinist unknowingly sold the great violinist's soul to the Devil. ""Variation upon variation,"" the great violinist cries at one point, ""but which variation leads to salvation and which to damnation? Music is a question for which there is no answer."" the great violinist is portrayed as having killed three of the great violinist's lovers and sinking repeatedly into poverty, prison, and drink. Each time the great violinist is ""rescued"" by the Devil, who appears in different guises, returning the great violinist's violin so the Devil can continue playing. In the end, the great violinist's salvation—administered by a god-like Clockmaker—turns out to be imprisonment in a large bottle where the great violinist plays the great violinist's music for the amusement of the public through all eternity. ""Do not pity the great violinist, a god-like Clockmaker's dear,"" a god-like Clockmaker tells Antonia, one of the great violinist's murdered wives. ""the great violinist is alone with the answer for which there is no question. The saved and the damned are the same.""
"
"== References ==
",70,"== References ==
","== References ==
"
"== Bibliography ==
",71,"== Bibliography ==
","== Bibliography ==
"
"Angelo Boscassi, Il Violino di Niccolò Paganini conservato nel Palazzo Municipale di Genova, Fratelli Pagano, 1909
",72,"Angelo Boscassi, Il Violino di Niccolò Paganini conservato nel Palazzo Municipale di Genova, Fratelli Pagano, 1909
","Angelo Boscassi, Il Violino di Niccolò Paganini conservato nel Palazzo Municipale di Genova, Fratelli Pagano, 1909
"
"Leopold Auer, Violin playing as I teach it, Stokes, 1921 (reprint Dover, 1980)
",73,"Leopold Auer, Violin playing as I teach it, Stokes, 1921 (reprint Dover, 1980)
","Leopold Auer, Violin playing as I teach it, Stokes, 1921 (reprint Dover, 1980)
"
"Alberto Bachmann, An Encyclopedia of the violin, Da Capo, 1925
",74,"Alberto Bachmann, An Encyclopedia of the violin, Da Capo, 1925
","Alberto Bachmann, An Encyclopedia of the violin, Da Capo, 1925
"
"Jeffrey Pulver, Paganini: The Romantic Virtuoso, Herbert Joseph, 1936 (reprint Da Capo, 1970)
",75,"Jeffrey Pulver, Paganini: The Romantic Virtuoso, Herbert Joseph, 1936 (reprint Da Capo, 1970)
","Jeffrey Pulver, Paganini: The Romantic Virtuoso, Herbert Joseph, 1936 (reprint Da Capo, 1970)
"
"Geraldine I.C. de Courcy, Paganini the Genoese, University of Oklahoma, 1957 (reprint Da Capo, 1977)
",76,"Geraldine I.C. de Courcy, Paganini the Genoese, University of Oklahoma, 1957 (reprint Da Capo, 1977)
","Geraldine I.C. de Courcy, Paganini the Genoese, University of Oklahoma, 1957 (reprint Da Capo, 1977)
"
"Yehudi Menuhin and William Primrose, Violin and viola, MacDonald and Jane's, 1976
",77,"Yehudi Menuhin and William Primrose, Violin and viola, MacDonald and Jane's, 1976
","Yehudi Menuhin and William Primrose, Violin and viola, MacDonald and Jane's, 1976
"
"Yehudi Menuhin and Curtis W. Davis, The Music of man, Methuen, 1979
",78,"Yehudi Menuhin and Curtis W. Davis, The Music of man, Methuen, 1979
","Yehudi Menuhin and Curtis W. Davis, The Music of man, Methuen, 1979
"
"John Sugden, Paganini, Omnibus Press, 1980
",79,"John Sugden, Paganini, Omnibus Press, 1980
","John Sugden, Paganini, Omnibus Press, 1980
"
