ori_text_x,paragraphIndex,ori_text_y,coref_text
"In October–November 1857, Schumann and Joachim went on a recital tour to Dresden and Leipzig. St. James's Hall in London, which opened in 1858, hosted a series of ""Popular Concerts"" of chamber music. Joachim visited London annually beginning in 1866. Schumann also spent many years in London participating in the Popular Concerts with Joachim and the celebrated Italian cellist Carlo Alfredo Piatti. Second violinist Joseph Ries (brother of composer Ferdinand Ries) and violist J. B. Zerbini usually played on the same concert programs. George Bernard Shaw, the leading playwright and also a music critic, wrote that the Popular Concerts helped greatly to spread and enlighten musical taste in England. In January 1867, Schumann toured Edinburgh and Glasgow, Scotland, along with Joachim, Piatti, Ries, and Zerbini. Two sisters, Louisa and Susanna Pyne, singers and managers of an opera company in England, and a man named Saunders, made all the arrangements. She was accompanied by her oldest daughter Marie, who wrote from Manchester to her friend Rosalie Leser that in Edinburgh the pianist ""was received with tempestuous applause and had to give an encore, so had Joachim. Piatti, too, is always tremendously liked."" Marie also wrote: ""For the longer journeys we had a saloon [car], comfortably furnished with arm-chairs and sofas... the journey ... was very comfortable."" On this occasion, the musicians were not ""treated as inferiors"".
",22,"In October–November 1857, Schumann and Joachim went on a recital tour to Dresden and Leipzig. St. James's Hall in London, which opened in 1858, hosted a series of ""Popular Concerts"" of chamber music. Joachim visited London annually beginning in 1866. Schumann also spent many years in London participating in the Popular Concerts with Joachim and the celebrated Italian cellist Carlo Alfredo Piatti. Second violinist Joseph Ries (brother of composer Ferdinand Ries) and violist J. B. Zerbini usually played on the same concert programs. George Bernard Shaw, the leading playwright and also a music critic, wrote that the Popular Concerts helped greatly to spread and enlighten musical taste in England. In January 1867, Schumann toured Edinburgh and Glasgow, Scotland, along with Joachim, Piatti, Ries, and Zerbini. Two sisters, Louisa and Susanna Pyne, singers and managers of an opera company in England, and a man named Saunders, made all the arrangements. She was accompanied by her oldest daughter Marie, who wrote from Manchester to her friend Rosalie Leser that in Edinburgh the pianist ""was received with tempestuous applause and had to give an encore, so had Joachim. Piatti, too, is always tremendously liked."" Marie also wrote: ""For the longer journeys we had a saloon [car], comfortably furnished with arm-chairs and sofas... the journey ... was very comfortable."" On this occasion, the musicians were not ""treated as inferiors"".
","In October–November 1857, Schumann and Joachim went on a recital tour to Dresden and Leipzig. St. James's Hall in London, which opened in 1858, hosted a series of ""Popular Concerts"" of chamber music. Joachim visited London annually beginning in 1866. Schumann also spent many years in London participating in a series of ""Popular Concerts"" of chamber music with Joachim and the celebrated Italian cellist Carlo Alfredo Piatti. Second violinist Joseph Ries (brother of composer Ferdinand Ries) and violist J. B. Zerbini usually played on a series of ""Popular Concerts"" of chamber music. George Bernard Shaw, the leading playwright and also a music critic, wrote that a series of ""Popular Concerts"" of chamber music helped greatly to spread and enlighten musical taste in England. In January 1867, Schumann toured Edinburgh and Glasgow, Scotland, along with Joachim, the celebrated Italian cellist Carlo Alfredo Piatti, composer Ferdinand Ries, and violist J. B. Zerbini. Two sisters, Louisa and Susanna Pyne, singers and managers of an opera company in England, and a man named Saunders, made all the arrangements. Schumann was accompanied by Schumann's oldest daughter Marie, who wrote from Manchester to Marie's friend Rosalie Leser that in Edinburgh the pianist ""was received with tempestuous applause and had to give an encore, so had Joachim. the celebrated Italian cellist Carlo Alfredo Piatti, too, is always tremendously liked."" Marie also wrote: ""For the longer journeys we had a saloon [car], comfortably furnished with arm-chairs and sofas... the journey ... was very comfortable."" On this occasion, Schumann and Joachim were not ""treated as inferiors"".
"
"=== Later life ===
",23,"=== Later life ===
","=== Later life ===
"
"==== Concerts ====
",24,"==== Concerts ====
","==== Concerts ====
"
"Schumann still performed actively in the 1870s and 1880s. She performed extensively and regularly throughout Germany during these decades, and had engagements in Austria, Hungary, Belgium, Holland, and Switzerland. When in Basel, Switzerland, she often stayed with the Von der Mühll family. She continued her annual winter-spring concert tours of England, giving 16 of them between 1865 and 1888, often with violinist Joachim. She took a break from concert performances, beginning in January 1874, cancelling her usual England tour due to an arm injury. In July, she consulted a doctor, who having massaged the arm, advised her to practice for only one hour a day. She rested for the remainder of the year before returning to the concert stage in March 1875. She had not fully recovered, and experienced more neuralgia in her arm again in May, reporting that she ""could not write on account of my arm"". By October 1875, she had recovered enough to begin another tour in Germany.
",25,"Schumann still performed actively in the 1870s and 1880s. She performed extensively and regularly throughout Germany during these decades, and had engagements in Austria, Hungary, Belgium, Holland, and Switzerland. When in Basel, Switzerland, she often stayed with the Von der Mühll family. She continued her annual winter-spring concert tours of England, giving 16 of them between 1865 and 1888, often with violinist Joachim. She took a break from concert performances, beginning in January 1874, cancelling her usual England tour due to an arm injury. In July, she consulted a doctor, who having massaged the arm, advised her to practice for only one hour a day. She rested for the remainder of the year before returning to the concert stage in March 1875. She had not fully recovered, and experienced more neuralgia in her arm again in May, reporting that she ""could not write on account of my arm"". By October 1875, she had recovered enough to begin another tour in Germany.
","Schumann still performed actively in these decades. Schumann performed extensively and regularly throughout Germany during these decades, and had engagements in Austria, Hungary, Belgium, Holland, and Switzerland. When in Basel, Switzerland, Schumann often stayed with the Von der Mühll family. Schumann continued Schumann's annual winter-spring concert tours of England, giving 16 of her annual winter-spring concert tours of England between 1865 and 1888, often with violinist Joachim. Schumann took a break from concert performances, beginning in January 1874, cancelling Schumann's usual England tour due to an arm injury. In July, Schumann consulted a doctor, who having massaged the arm, advised Schumann to practice for only one hour a day. Schumann rested for the remainder of the year before returning to the concert stage in March 1875. Schumann had not fully recovered, and experienced more neuralgia in Schumann's arm again in May, reporting that Schumann ""could not write on account of Schumann's arm"". By October 1875, Schumann had recovered enough to begin another tour in Germany.
"
"In addition to solo piano recitals, chamber music, and accompanying singers, she continued to perform frequently with orchestras. In 1877, she performed Beethoven's Fifth Piano Concerto in Berlin, with Woldemar Bargiel conducting, her half-brother by her mother's second marriage, and had tremendous success. In 1883, she performed Beethoven's Choral Fantasy with the newly-formed Berlin Philharmonic, and was enthusiastically celebrated, although she was playing with an injured hand in great pain, having fallen on a staircase the previous day. Later that year she played Beethoven's Fourth Piano Concerto (with her own cadenzas) with Joachim conducting the same orchestra, again to great acclaim.
",26,"In addition to solo piano recitals, chamber music, and accompanying singers, she continued to perform frequently with orchestras. In 1877, she performed Beethoven's Fifth Piano Concerto in Berlin, with Woldemar Bargiel conducting, her half-brother by her mother's second marriage, and had tremendous success. In 1883, she performed Beethoven's Choral Fantasy with the newly-formed Berlin Philharmonic, and was enthusiastically celebrated, although she was playing with an injured hand in great pain, having fallen on a staircase the previous day. Later that year she played Beethoven's Fourth Piano Concerto (with her own cadenzas) with Joachim conducting the same orchestra, again to great acclaim.
","In addition to solo piano recitals, chamber music, and accompanying singers, she continued to perform frequently with orchestras. In 1877, she performed Beethoven's's Fifth Piano Concerto in Berlin, with Woldemar Bargiel conducting, her half-brother by her mother's second marriage, and had tremendous success. In 1883, she performed Beethoven's's Choral Fantasy with the newly-formed Berlin Philharmonic, and was enthusiastically celebrated, although she was playing with an injured hand in great pain, having fallen on a staircase the previous day. Later that year she played Beethoven's's Fourth Piano Concerto (with her own cadenzas) with Joachim conducting the same orchestra, again to great acclaim.
"
"In 1885, Schumann once again joined Joachim conducting Mozart's Piano Concerto in D minor, again playing her own cadenzas. The following day, she played her husband's Piano Concerto with Bargiel conducting. ""I think I played fresher than ever"", she wrote to Brahms, ""What I liked very much about the concert was that I was able to give Woldemar the direction of it, who had longed for such an opportunity for years.""She played her last public concert in Frankfurt on 12 March 1891. The last work she played was Brahms's Variations on a Theme by Haydn, in a version for two pianos, with James Kwast.
",27,"In 1885, Schumann once again joined Joachim conducting Mozart's Piano Concerto in D minor, again playing her own cadenzas. The following day, she played her husband's Piano Concerto with Bargiel conducting. ""I think I played fresher than ever"", she wrote to Brahms, ""What I liked very much about the concert was that I was able to give Woldemar the direction of it, who had longed for such an opportunity for years.""She played her last public concert in Frankfurt on 12 March 1891. The last work she played was Brahms's Variations on a Theme by Haydn, in a version for two pianos, with James Kwast.
","In 1885, Schumann once again joined Joachim conducting Mozart's Piano Concerto in D minor, again playing Schumann's own cadenzas. The following day, Schumann played Schumann's husband's Piano Concerto with Bargiel conducting. ""Schumann think Schumann played fresher than ever"", Schumann wrote to her husband's, ""What Schumann liked very much about the concert was that Schumann was able to give her husband's the direction of the concert, who had longed for such an opportunity for years.""She played Schumann's last public concert in Frankfurt on 12 March 1891. The last work Schumann played was her husband's's Variations on a Theme by Haydn, in a version for two pianos, with James Kwast.
"
"==== Teaching ====
",28,"==== Teaching ====
","==== Teaching ====
"
"In 1878, Schumann was appointed the first piano teacher of the new Dr. Hoch's Konservatorium in Frankfurt. She had chosen Frankfurt among offers from Stuttgart, Hannover, and Berlin, because the director, Joachim Raff, had accepted her conditions: she could not teach more than 1-1/2 hours per day, was free to teach at her home, and had four months of vacation and time off for short tours in winter. She demanded two assistants, with her daughters Marie and Eugenie in mind. She was the only woman on the faculty. Her fame attracted students from abroad, including Britain and the United States. She trained only advanced pupils, mostly young women, while her two daughters gave lessons to beginners. Among her 68 known students who made a musical career were Natalia Janotha, Fanny Davies, Nanette Falk, Amina Goodwin, Carl Friedberg, Leonard Borwick, Ilona Eibenschütz, Adelina de Lara, Marie Olson and Mary Wurm. The Konservatorium held events to celebrate her 50th year on stage in 1878 and her 60th career anniversary ten years later. She held the teaching post until 1892 and contributed greatly to the improvement of modern piano playing technique.
",29,"In 1878, Schumann was appointed the first piano teacher of the new Dr. Hoch's Konservatorium in Frankfurt. She had chosen Frankfurt among offers from Stuttgart, Hannover, and Berlin, because the director, Joachim Raff, had accepted her conditions: she could not teach more than 1-1/2 hours per day, was free to teach at her home, and had four months of vacation and time off for short tours in winter. She demanded two assistants, with her daughters Marie and Eugenie in mind. She was the only woman on the faculty. Her fame attracted students from abroad, including Britain and the United States. She trained only advanced pupils, mostly young women, while her two daughters gave lessons to beginners. Among her 68 known students who made a musical career were Natalia Janotha, Fanny Davies, Nanette Falk, Amina Goodwin, Carl Friedberg, Leonard Borwick, Ilona Eibenschütz, Adelina de Lara, Marie Olson and Mary Wurm. The Konservatorium held events to celebrate her 50th year on stage in 1878 and her 60th career anniversary ten years later. She held the teaching post until 1892 and contributed greatly to the improvement of modern piano playing technique.
","In 1878, Schumann was appointed the first piano teacher of the new Dr. Hoch's Konservatorium in Frankfurt. Schumann had chosen Frankfurt among offers from Stuttgart, Hannover, and Berlin, because the director, Joachim Raff, had accepted Schumann conditions: Schumann could not teach more than 1-1/2 hours per day, was free to teach at Schumann's home, and had four months of vacation and time off for short tours in winter. Schumann demanded two assistants, with Schumann's daughters Marie and Eugenie in mind. Schumann was the only woman on the faculty. Schumann's fame attracted students from abroad, including Britain and the United States. Schumann trained only advanced pupils, mostly young women, while Schumann's two daughters gave lessons to beginners. Among Schumann 68 known students who made a musical career were Natalia Janotha, Fanny Davies, Nanette Falk, Amina Goodwin, Carl Friedberg, Leonard Borwick, Ilona Eibenschütz, Adelina de Lara, Marie Olson and Mary Wurm. the new Dr. Hoch's Konservatorium in Frankfurt held events to celebrate Schumann's 50th year on stage in 1878 and Schumann's 60th career anniversary ten years later. Schumann held the teaching post until 1892 and contributed greatly to the improvement of modern piano playing technique.
"
"=== Death ===
",30,"=== Death ===
","=== Death ===
"
"Schumann suffered a stroke on 26 March 1896, and died on 20 May at age 76. She was buried in Bonn at Alter Friedhof next to her husband, according to her own wish.
",31,"Schumann suffered a stroke on 26 March 1896, and died on 20 May at age 76. She was buried in Bonn at Alter Friedhof next to her husband, according to her own wish.
","Schumann suffered a stroke on 26 March 1896, and died on 20 May at age 76. She was buried in Bonn at Alter Friedhof next to her husband, according to her own wish.
"
"== Family life ==
",32,"== Family life ==
","== Family life ==
"
"Robert Schumann gave his wife a diary on their wedding day. His first entry indicates that it should act as an autobiography of the family's personal lives, especially of the couple, and of their desires and accomplishments in the arts. It also functioned as a record of their artistic endeavors and growth. She fully accepted the arrangement of a shared diary as evidenced by her many entries. It demonstrates her loyal love for her husband, with a desire to combine two lives into one artistically, although this life-long goal involved risks. The couple remained joint partners in both family life and their careers. She premiered many of his works, from solo piano works to her own piano versions of his orchestral works. She often took charge of finances and general household affairs. Part of her responsibility included earning money by giving concerts, though she continued to play throughout her life, not just for the income but because she was an artist by training and nature. The burden of family duties increased over time and narrowed her ability as an artist. As a flourishing composer's wife, she was limited in her own explorations. She was the main breadwinner for her family and the sole one after her husband was hospitalized and then died. She gave concerts and taught, and she did most of the work of organizing her own concert tours. She hired a housekeeper and a cook to keep house while she was away on her long tours. Clara and Robert Schumann had eight children:
",33,"Robert Schumann gave his wife a diary on their wedding day. His first entry indicates that it should act as an autobiography of the family's personal lives, especially of the couple, and of their desires and accomplishments in the arts. It also functioned as a record of their artistic endeavors and growth. She fully accepted the arrangement of a shared diary as evidenced by her many entries. It demonstrates her loyal love for her husband, with a desire to combine two lives into one artistically, although this life-long goal involved risks. The couple remained joint partners in both family life and their careers. She premiered many of his works, from solo piano works to her own piano versions of his orchestral works. She often took charge of finances and general household affairs. Part of her responsibility included earning money by giving concerts, though she continued to play throughout her life, not just for the income but because she was an artist by training and nature. The burden of family duties increased over time and narrowed her ability as an artist. As a flourishing composer's wife, she was limited in her own explorations. She was the main breadwinner for her family and the sole one after her husband was hospitalized and then died. She gave concerts and taught, and she did most of the work of organizing her own concert tours. She hired a housekeeper and a cook to keep house while she was away on her long tours. Clara and Robert Schumann had eight children:
","Robert Schumann gave Robert Schumann's wife a diary on the couple's wedding day. Robert Schumann's first entry indicates that a diary should act as an autobiography of the family's personal lives, especially of the couple, and of the couple's desires and accomplishments in the arts. a diary also functioned as a record of the couple's artistic endeavors and growth. his wife fully accepted the arrangement of a shared diary as evidenced by his wife's many entries. a diary demonstrates his wife's loyal love for his wife's husband, with a desire to this life-long goal two lives into one artistically, although this life-long goal involved risks. the couple remained joint partners in both family life and the couple's careers. his wife premiered many of Robert Schumann's works, from solo piano works to his wife's own piano versions of Robert Schumann's orchestral works. his wife often took charge of finances and general household affairs. Part of his wife's responsibility included earning money by giving concerts, though his wife continued to play throughout his wife's life, not just for money but because his wife was an artist by training and nature. The burden of family duties increased over time and narrowed his wife's ability as an artist. As a flourishing composer's wife, his wife was limited in his wife's own explorations. his wife was the main breadwinner for his wife's family and the sole one after his wife's husband was hospitalized and then died. his wife gave concerts and taught, and his wife did most of the work of organizing his wife's own concert tours. his wife hired a housekeeper and a cook to keep house while his wife was away on his wife's long tours. the couple had eight children:
"
"Marie (1841–1929)
",34,"Marie (1841–1929)
","Marie (1841–1929)
"
"Elise (1843–1928)
",35,"Elise (1843–1928)
","Elise (1843–1928)
"
"Julie (1845–1872)
",36,"Julie (1845–1872)
","Julie (1845–1872)
"
"Emil (1846–1847)
",37,"Emil (1846–1847)
","Emil (1846–1847)
"
"Ludwig (1848–1899)
",38,"Ludwig (1848–1899)
","Ludwig (1848–1899)
"
"Ferdinand (1849–1891)
",39,"Ferdinand (1849–1891)
","Ferdinand (1849–1891)
"
"Eugenie (1851–1938)
",40,"Eugenie (1851–1938)
","Eugenie (1851–1938)
"
"Felix (1854–1879). Her life was punctuated by tragedy. Her husband was permanently institutionalized after a mental collapse. Her eldest living son Ludwig suffered from mental illness like his father and, in her words, eventually had to be ""buried alive"" in an institution. She became deaf in later life, and she often needed a wheelchair. Not only did her husband predecease her, but so did four of their children. Their first son, Emil, died in 1847, aged only 1. Their daughter Julie died in 1872, leaving two small children aged only 2 and 7, then raised by their grandmother. In 1879, their son Felix died aged 24. In 1891, their son Ferdinand died at the age of 41, leaving his children to her care. Their oldest child Marie was of great support and help to her mother, taking the position of household cook. Marie also dissuaded her mother from continuing to burn letters that she had received from Brahms which he had asked her to destroy. Another daughter, Eugenie, who had been too young when her father died to remember him, wrote a book, Erinnerungen (Memoirs), published in 1925, covering her parents and Brahms. Schumann famously rescued her children from violence during the May Uprising in Dresden in 1849. On the evening of 3 May, Robert and Clara heard that the revolution against King Frederick Augustus II of Saxony for not accepting the ""constitution for a German Confederation"" had arrived in Dresden. Most family members left and hid in a ""neighbourhood security brigade"", but on 7 May, she bravely walked back to Dresden to rescue her three children who had been left with a maid, defying a pack of armed men who confronted her, then walked back out of the city through the dangerous areas again.
",41,"Felix (1854–1879). Her life was punctuated by tragedy. Her husband was permanently institutionalized after a mental collapse. Her eldest living son Ludwig suffered from mental illness like his father and, in her words, eventually had to be ""buried alive"" in an institution. She became deaf in later life, and she often needed a wheelchair. Not only did her husband predecease her, but so did four of their children. Their first son, Emil, died in 1847, aged only 1. Their daughter Julie died in 1872, leaving two small children aged only 2 and 7, then raised by their grandmother. In 1879, their son Felix died aged 24. In 1891, their son Ferdinand died at the age of 41, leaving his children to her care. Their oldest child Marie was of great support and help to her mother, taking the position of household cook. Marie also dissuaded her mother from continuing to burn letters that she had received from Brahms which he had asked her to destroy. Another daughter, Eugenie, who had been too young when her father died to remember him, wrote a book, Erinnerungen (Memoirs), published in 1925, covering her parents and Brahms. Schumann famously rescued her children from violence during the May Uprising in Dresden in 1849. On the evening of 3 May, Robert and Clara heard that the revolution against King Frederick Augustus II of Saxony for not accepting the ""constitution for a German Confederation"" had arrived in Dresden. Most family members left and hid in a ""neighbourhood security brigade"", but on 7 May, she bravely walked back to Dresden to rescue her three children who had been left with a maid, defying a pack of armed men who confronted her, then walked back out of the city through the dangerous areas again.
","Felix (1854–1879). her mother's life was punctuated by tragedy. her mother's husband was permanently institutionalized after a mental collapse. her mother's eldest living son Ludwig suffered from mental illness like Her eldest living son Ludwig's father and, in her mother's words, eventually had to be ""buried alive"" in an institution. her mother became deaf in later life, and her mother often needed a wheelchair. Not only did her mother's husband predecease her mother, but so did four of their children. Their first son, Emil, died in 1847, aged only 1. Their daughter Julie died in 1872, leaving two small children aged only 2 and 7, then raised by two small children aged only 2 and 7's grandmother. In 1879, their son Felix died aged 24. In 1891, their son Ferdinand died at the age of 41, leaving their son Ferdinand's children to her mother's care. Their oldest child Marie was of great support and help to Their oldest child Marie's mother, taking the position of household cook. Their oldest child Marie also dissuaded Their oldest child Marie's mother from continuing to burn letters that her mother had received from Brahms which Brahms had asked her mother to destroy. Another daughter, Eugenie, who had been too young when Another daughter, Eugenie, who had been too young when her father died to remember him's father died to remember her father, wrote a book, Erinnerungen (Memoirs), published in 1925, covering Another daughter, Eugenie, who had been too young when her father died to remember him's parents and Brahms. Schumann famously rescued Schumann's children from violence during the May Uprising in Dresden in 1849. On the evening of 3 May, Robert and Clara heard that the revolution against King Frederick Augustus II of Saxony for not accepting the ""constitution for a German Confederation"" had arrived in Dresden. Most family members left and hid in a ""neighbourhood security brigade"", but on 7 May, Schumann bravely walked back to Dresden to rescue Schumann's three children who had been left with a maid, defying a pack of armed men who confronted Schumann, then walked back out of Dresden through the dangerous areas again.
"
"== Music ==
",42,"== Music ==
","== Music ==
"
"=== Performance repertoire ===
",43,"=== Performance repertoire ===
","=== Performance repertoire ===
"
"During her lifetime, Schumann was an internationally renowned concert pianist. Over 1,300 concert programs from her performances throughout Europe between 1831 through 1889 have been preserved. She championed the works of her husband and other contemporaries such as Brahms, Chopin and Mendelssohn.
",44,"During her lifetime, Schumann was an internationally renowned concert pianist. Over 1,300 concert programs from her performances throughout Europe between 1831 through 1889 have been preserved. She championed the works of her husband and other contemporaries such as Brahms, Chopin and Mendelssohn.
","During Schumann's lifetime, Schumann was an internationally renowned concert pianist. Over 1,300 concert programs from Schumann's performances throughout Europe between 1831 through 1889 have been preserved. Schumann championed the works of Schumann's husband and other contemporaries such as Brahms, Chopin and Mendelssohn.
"
"The Schumanns were admirers of Chopin, especially of Variations on ""Là ci darem la mano"", and she played the piece herself. When she was 14 and her future husband 23, he wrote to her:
",45,"The Schumanns were admirers of Chopin, especially of Variations on ""Là ci darem la mano"", and she played the piece herself. When she was 14 and her future husband 23, he wrote to her:
","The Schumanns were admirers of Chopin, especially of Variations on ""Là ci darem la mano"", and she played Variations on ""Là ci darem la mano"" herself. When she was 14 and her future husband 23, her future husband wrote to her:
"
"Tomorrow precisely at eleven o'clock I will play the adagio from Chopin's Variations and at the same time I shall think of you very intently, exclusively of you. Now my request is that you should do the same, so that we may see and meet each other in spirit.
",46,"Tomorrow precisely at eleven o'clock I will play the adagio from Chopin's Variations and at the same time I shall think of you very intently, exclusively of you. Now my request is that you should do the same, so that we may see and meet each other in spirit.
","Tomorrow precisely at eleven o'clock I will play the adagio from Chopin's Variations and at the same time I shall think of you very intently, exclusively of you. Now my request is that you should do the same, so that we may see and meet each other in spirit.
"
"In her early years, her repertoire, selected by her father, was showy and in the style common to the time, with works by Friedrich Kalkbrenner, Adolf von Henselt, Sigismond Thalberg, Henri Herz, Johann Peter Pixis, Carl Czerny and her own compositions. She turned to including compositions by Baroque composers such as Domenico Scarlatti and Johann Sebastian Bach, but performed especially contemporary music by Chopin, Mendelssohn and her husband, whose music did not attain popularity until the 1850s. In 1835, she performed her Piano Concerto in A minor with the Leipzig Gewandhaus Orchestra, conducted by Mendelssohn. On 4 December 1845, she premiered Robert Schumann's Piano Concerto in Dresden. Following the advice of Brahms she performed Mozart's Piano Concerto in C minor at the Hanoverian court and in Leipzig. Her busiest years as a performer were between 1856 and 1873, after her husband's death. During this period, she experienced success as a performer in Britain, where her 1865 performance of Beethoven's Piano Concerto in G major was met with enormous applause. As a chamber musician, she often gave concerts with violinist Joachim. In her later career, she frequently accompanied lieder singers in recitals.
",47,"In her early years, her repertoire, selected by her father, was showy and in the style common to the time, with works by Friedrich Kalkbrenner, Adolf von Henselt, Sigismond Thalberg, Henri Herz, Johann Peter Pixis, Carl Czerny and her own compositions. She turned to including compositions by Baroque composers such as Domenico Scarlatti and Johann Sebastian Bach, but performed especially contemporary music by Chopin, Mendelssohn and her husband, whose music did not attain popularity until the 1850s. In 1835, she performed her Piano Concerto in A minor with the Leipzig Gewandhaus Orchestra, conducted by Mendelssohn. On 4 December 1845, she premiered Robert Schumann's Piano Concerto in Dresden. Following the advice of Brahms she performed Mozart's Piano Concerto in C minor at the Hanoverian court and in Leipzig. Her busiest years as a performer were between 1856 and 1873, after her husband's death. During this period, she experienced success as a performer in Britain, where her 1865 performance of Beethoven's Piano Concerto in G major was met with enormous applause. As a chamber musician, she often gave concerts with violinist Joachim. In her later career, she frequently accompanied lieder singers in recitals.
","In her early years, her repertoire, selected by her father, was showy and in the style common to the time, with works by Friedrich Kalkbrenner, Adolf von Henselt, Sigismond Thalberg, Henri Herz, Johann Peter Pixis, Carl Czerny and her own compositions. She turned to including compositions by Baroque composers such as Domenico Scarlatti and Johann Sebastian Bach, but performed especially contemporary music by Chopin, Mendelssohn and Mendelssohn's husband, whose music did not attain popularity until the 1850s. In 1835, she performed her Piano Concerto in A minor with the Leipzig Gewandhaus Orchestra, conducted by Mendelssohn. On 4 December 1845, she premiered Robert Schumann's Piano Concerto in Dresden. Following the advice of Brahms she performed Mozart's Piano Concerto in C minor at the Hanoverian court and in Leipzig. Her busiest years as a performer were between 1856 and 1873, after her husband's death. During this period, she experienced success as a performer in Britain, where her 1865 performance of Beethoven's Piano Concerto in G major was met with enormous applause. As a chamber musician, she often gave concerts with violinist Joachim. In her later career, she frequently accompanied lieder singers in recitals.
"
"=== Compositions ===
",48,"=== Compositions ===
","=== Compositions ===
"
"As part of the broad musical education given to her by her father, Clara Wieck learned to compose, and from childhood to middle age she produced a good body of work. Clara wrote that ""composing gives me great pleasure... there is nothing that surpasses the joy of creation, if only because through it one wins hours of self-forgetfulness, when one lives in a world of sound"". Her Op. 1 was Quatre Polonaises pour le pianoforte composed in 1831, and Op. 5 4 Pièces caractéristiques in 1836, all piano pieces for her recitals. She wrote her Piano Concerto in A minor at age 14, with some help from her future husband. She planned a second piano concerto, but only a Konzertsatz in F minor from 1847 survived.
",49,"As part of the broad musical education given to her by her father, Clara Wieck learned to compose, and from childhood to middle age she produced a good body of work. Clara wrote that ""composing gives me great pleasure... there is nothing that surpasses the joy of creation, if only because through it one wins hours of self-forgetfulness, when one lives in a world of sound"". Her Op. 1 was Quatre Polonaises pour le pianoforte composed in 1831, and Op. 5 4 Pièces caractéristiques in 1836, all piano pieces for her recitals. She wrote her Piano Concerto in A minor at age 14, with some help from her future husband. She planned a second piano concerto, but only a Konzertsatz in F minor from 1847 survived.
","As part of the broad musical education given to Clara Wieck by Clara Wieck's father, Clara Wieck learned to compose, and from childhood to middle age Clara Wieck produced a good body of work. Clara Wieck wrote that ""composing gives Clara Wieck great pleasure... there is nothing that surpasses the joy of creation, if only because through composing one wins hours of self-forgetfulness, when one lives in a world of sound"". Clara Wieck's Op. 1 was Quatre Polonaises pour le pianoforte composed in 1831, and Op. 5 4 Pièces caractéristiques in 1836, all piano pieces for Clara Wieck's recitals. Clara Wieck wrote Clara Wieck's Piano Concerto in A minor at age 14, with some help from Clara Wieck's future husband. Clara Wieck planned a second piano concerto, but only a Konzertsatz in F minor from 1847 survived.
"
"After her marriage, she turned to lieder and choral works. The couple wrote and published one joint composition in 1841, setting a cycle of poems by Friedrich Rückert called Liebesfrühling (Spring of Love) in Zwölf Lieder auf F. Rückerts Liebesfrühling, her Op. 12 and his Op. 37. Her chamber works include the Piano Trio in G minor, Op. 17 (1846) and Three Romances for Violin and Piano, Op. 22 (1853), inspired by her husband's birthday. They were dedicated to Joachim, who performed them for George V of Hanover, who declared them a ""marvellous, heavenly pleasure"". As she grew older, she became more preoccupied with other responsibilities in life and found it hard to compose regularly, writing, ""I once believed that I possessed creative talent, but I have given up this idea; a woman must not desire to compose – there has never yet been one able to do it. Should I expect to be the one?"" Her husband also expressed concern about the effect on her composing output:
",50,"After her marriage, she turned to lieder and choral works. The couple wrote and published one joint composition in 1841, setting a cycle of poems by Friedrich Rückert called Liebesfrühling (Spring of Love) in Zwölf Lieder auf F. Rückerts Liebesfrühling, her Op. 12 and his Op. 37. Her chamber works include the Piano Trio in G minor, Op. 17 (1846) and Three Romances for Violin and Piano, Op. 22 (1853), inspired by her husband's birthday. They were dedicated to Joachim, who performed them for George V of Hanover, who declared them a ""marvellous, heavenly pleasure"". As she grew older, she became more preoccupied with other responsibilities in life and found it hard to compose regularly, writing, ""I once believed that I possessed creative talent, but I have given up this idea; a woman must not desire to compose – there has never yet been one able to do it. Should I expect to be the one?"" Her husband also expressed concern about the effect on her composing output:
","After her marriage, she turned to lieder and choral works. The couple wrote and published one joint composition in 1841, setting a cycle of poems by Friedrich Rückert called Liebesfrühling (Spring of Love) in Zwölf Lieder auf Friedrich Rückert Liebesfrühling, her Op. 12 and Friedrich Rückert's Op. 37. Her chamber works include the Piano Trio in G minor, Op. 17 (1846) and Three Romances for Violin and Piano, Op. 22 (1853), inspired by her husband's birthday. Her chamber works were dedicated to Joachim, who performed Her chamber works for George V of Hanover, who declared Her chamber works a ""marvellous, heavenly pleasure"". As she grew older, she became more preoccupied with other responsibilities in life and found it hard to compose regularly, writing, ""I once believed that I possessed creative talent, but I have given up this idea; a woman must not desire to compose – there has never yet been one able to do it. Should I expect to be the one?"" Her husband also expressed concern about the effect on her composing output:
"
"Clara has composed a series of small pieces, which show a musical and tender ingenuity such as she has never attained before. But to have children, and a husband who is always living in the realm of imagination, does not go together with composing. She cannot work at it regularly, and I am often disturbed to think how many profound ideas are lost because she cannot work them out.
",51,"Clara has composed a series of small pieces, which show a musical and tender ingenuity such as she has never attained before. But to have children, and a husband who is always living in the realm of imagination, does not go together with composing. She cannot work at it regularly, and I am often disturbed to think how many profound ideas are lost because she cannot work them out.
","Clara has composed a series of small pieces, which show a musical and tender ingenuity such as Clara has never attained before. But to have children, and a husband who is always living in the realm of imagination, does not go together with composing. Clara cannot work at composing regularly, and I am often disturbed to think how many profound ideas are lost because Clara cannot work them out.
"
